Ion = Helium      , Mass = 4.003
Tgt =  C +  H +  O +  N (Solid), Density = 1.06 g/cm3
Stopping Units = keV/(ug/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
1.110E+00   1.561E-01  2.488E-01 
6.045E+00   3.642E-01  1.256E-01 
1.098E+01   4.918E-01  8.873E-02 
1.591E+01   5.940E-01  7.001E-02 
2.085E+01   6.813E-01  5.671E-02 
2.578E+01   7.581E-01  4.903E-02 
3.072E+01   8.266E-01  4.337E-02 
3.565E+01   8.881E-01  3.899E-02 
4.059E+01   9.438E-01  3.447E-02 
4.553E+01   9.945E-01  3.149E-02 
5.046E+01   1.041E+00  2.920E-02 
5.540E+01   1.085E+00  2.692E-02 
6.033E+01   1.126E+00  2.526E-02 
6.527E+01   1.166E+00  2.382E-02 
7.020E+01   1.204E+00  2.255E-02 
7.513E+01   1.241E+00  2.141E-02 
8.007E+01   1.277E+00  2.040E-02 
8.500E+01   1.312E+00  1.949E-02 
8.994E+01   1.346E+00  1.866E-02 
9.487E+01   1.379E+00  1.791E-02 
9.981E+01   1.412E+00  1.722E-02 
1.047E+02   1.443E+00  1.659E-02 
1.097E+02   1.474E+00  1.601E-02 
1.146E+02   1.505E+00  1.546E-02 
1.196E+02   1.534E+00  1.496E-02 
1.245E+02   1.563E+00  1.450E-02 
1.294E+02   1.591E+00  1.406E-02 
1.344E+02   1.618E+00  1.365E-02 
1.393E+02   1.645E+00  1.327E-02 
1.442E+02   1.671E+00  1.291E-02 
1.492E+02   1.697E+00  1.257E-02 
1.541E+02   1.721E+00  1.225E-02 
1.590E+02   1.746E+00  1.194E-02 
1.640E+02   1.769E+00  1.166E-02 
1.689E+02   1.792E+00  1.138E-02 
1.738E+02   1.815E+00  1.112E-02 
1.788E+02   1.837E+00  1.088E-02 
1.837E+02   1.858E+00  1.064E-02 
1.886E+02   1.879E+00  1.042E-02 
1.936E+02   1.899E+00  1.020E-02 
1.985E+02   1.919E+00  1.000E-02 
2.034E+02   1.939E+00  9.804E-03 
2.084E+02   1.958E+00  9.617E-03 
2.133E+02   1.976E+00  9.437E-03 
2.182E+02   1.994E+00  9.264E-03 
2.232E+02   2.012E+00  9.098E-03 
2.281E+02   2.029E+00  8.938E-03 
2.331E+02   2.046E+00  8.784E-03 
2.380E+02   2.062E+00  8.636E-03 
2.429E+02   2.078E+00  8.494E-03 
2.479E+02   2.093E+00  8.356E-03 
2.528E+02   2.109E+00  8.223E-03 
2.577E+02   2.123E+00  8.095E-03 
2.627E+02   2.138E+00  7.971E-03 
2.676E+02   2.152E+00  7.850E-03 
2.725E+02   2.165E+00  7.734E-03 
2.775E+02   2.179E+00  7.622E-03 
2.824E+02   2.192E+00  7.513E-03 
2.873E+02   2.204E+00  7.407E-03 
2.923E+02   2.217E+00  7.305E-03 
2.972E+02   2.229E+00  7.205E-03 
3.021E+02   2.240E+00  7.108E-03 
3.071E+02   2.252E+00  7.015E-03 
3.120E+02   2.263E+00  6.923E-03 
3.169E+02   2.273E+00  6.835E-03 
3.219E+02   2.284E+00  6.749E-03 
3.268E+02   2.294E+00  6.665E-03 
3.318E+02   2.304E+00  6.583E-03 
3.367E+02   2.313E+00  6.504E-03 
3.416E+02   2.323E+00  6.426E-03 
3.466E+02   2.332E+00  6.351E-03 
3.515E+02   2.341E+00  6.277E-03 
3.564E+02   2.349E+00  6.205E-03 
3.614E+02   2.357E+00  6.135E-03 
3.663E+02   2.365E+00  6.067E-03 
3.712E+02   2.373E+00  6.000E-03 
3.762E+02   2.381E+00  5.935E-03 
3.811E+02   2.388E+00  5.872E-03 
3.860E+02   2.395E+00  5.809E-03 
3.910E+02   2.402E+00  5.749E-03 
3.959E+02   2.408E+00  5.689E-03 
4.008E+02   2.414E+00  5.631E-03 
4.058E+02   2.421E+00  5.574E-03 
4.107E+02   2.426E+00  5.519E-03 
4.156E+02   2.432E+00  5.464E-03 
4.206E+02   2.438E+00  5.411E-03 
4.255E+02   2.443E+00  5.359E-03 
4.305E+02   2.448E+00  5.308E-03 
4.354E+02   2.453E+00  5.258E-03 
4.403E+02   2.458E+00  5.209E-03 
4.453E+02   2.462E+00  5.161E-03 
4.502E+02   2.466E+00  5.114E-03 
4.551E+02   2.470E+00  5.068E-03 
4.601E+02   2.474E+00  5.022E-03 
4.650E+02   2.478E+00  4.978E-03 
4.699E+02   2.482E+00  4.934E-03 
4.749E+02   2.485E+00  4.892E-03 
4.798E+02   2.488E+00  4.850E-03 
4.847E+02   2.492E+00  4.808E-03 
4.897E+02   2.495E+00  4.768E-03 
4.946E+02   2.497E+00  4.728E-03 
4.995E+02   2.500E+00  4.689E-03 
5.045E+02   2.502E+00  4.651E-03 
5.094E+02   2.505E+00  4.613E-03 
5.144E+02   2.507E+00  4.576E-03 
5.193E+02   2.509E+00  4.540E-03 
5.242E+02   2.511E+00  4.504E-03 
5.292E+02   2.513E+00  4.469E-03 
5.341E+02   2.514E+00  4.434E-03 
5.390E+02   2.516E+00  4.400E-03 
5.440E+02   2.517E+00  4.367E-03 
5.489E+02   2.518E+00  4.334E-03 
5.538E+02   2.519E+00  4.302E-03 
5.588E+02   2.520E+00  4.270E-03 
5.637E+02   2.521E+00  4.238E-03 
5.686E+02   2.522E+00  4.208E-03 
5.736E+02   2.523E+00  4.177E-03 
5.785E+02   2.523E+00  4.147E-03 
5.834E+02   2.523E+00  4.118E-03 
5.884E+02   2.524E+00  4.089E-03 
5.933E+02   2.524E+00  4.060E-03 
5.982E+02   2.524E+00  4.032E-03 
6.032E+02   2.524E+00  4.005E-03 
6.081E+02   2.524E+00  3.977E-03 
6.131E+02   2.524E+00  3.950E-03 
6.180E+02   2.523E+00  3.924E-03 
6.229E+02   2.523E+00  3.898E-03 
6.279E+02   2.523E+00  3.872E-03 
6.328E+02   2.522E+00  3.846E-03 
6.377E+02   2.521E+00  3.821E-03 
6.427E+02   2.521E+00  3.797E-03 
6.476E+02   2.520E+00  3.772E-03 
6.525E+02   2.519E+00  3.748E-03 
6.575E+02   2.518E+00  3.725E-03 
6.624E+02   2.517E+00  3.701E-03 
6.673E+02   2.516E+00  3.678E-03 
6.723E+02   2.515E+00  3.655E-03 
6.772E+02   2.513E+00  3.633E-03 
6.821E+02   2.512E+00  3.611E-03 
6.871E+02   2.511E+00  3.589E-03 
6.920E+02   2.509E+00  3.567E-03 
6.969E+02   2.507E+00  3.546E-03 
7.019E+02   2.506E+00  3.525E-03 
7.068E+02   2.504E+00  3.504E-03 
7.118E+02   2.502E+00  3.484E-03 
7.167E+02   2.501E+00  3.463E-03 
7.216E+02   2.499E+00  3.443E-03 
7.266E+02   2.497E+00  3.424E-03 
7.315E+02   2.495E+00  3.404E-03 
7.364E+02   2.493E+00  3.385E-03 
7.414E+02   2.491E+00  3.366E-03 
7.463E+02   2.489E+00  3.347E-03 
7.512E+02   2.487E+00  3.328E-03 
7.562E+02   2.484E+00  3.310E-03 
7.611E+02   2.482E+00  3.292E-03 
7.660E+02   2.480E+00  3.274E-03 
7.710E+02   2.477E+00  3.256E-03 
7.759E+02   2.475E+00  3.239E-03 
7.808E+02   2.473E+00  3.221E-03 
7.858E+02   2.470E+00  3.204E-03 
7.907E+02   2.468E+00  3.187E-03 
7.956E+02   2.465E+00  3.171E-03 
8.006E+02   2.463E+00  3.154E-03 
8.055E+02   2.460E+00  3.138E-03 
8.104E+02   2.457E+00  3.121E-03 
8.154E+02   2.455E+00  3.105E-03 
8.203E+02   2.452E+00  3.090E-03 
8.253E+02   2.449E+00  3.074E-03 
8.302E+02   2.446E+00  3.058E-03 
8.351E+02   2.443E+00  3.043E-03 
8.401E+02   2.441E+00  3.028E-03 
8.450E+02   2.438E+00  3.013E-03 
8.499E+02   2.435E+00  2.998E-03 
8.549E+02   2.432E+00  2.983E-03 
8.598E+02   2.429E+00  2.969E-03 
8.647E+02   2.426E+00  2.955E-03 
8.697E+02   2.423E+00  2.940E-03 
8.746E+02   2.420E+00  2.926E-03 
8.795E+02   2.417E+00  2.912E-03 
8.845E+02   2.414E+00  2.899E-03 
8.894E+02   2.410E+00  2.885E-03 
8.943E+02   2.407E+00  2.871E-03 
8.993E+02   2.404E+00  2.858E-03 
9.042E+02   2.401E+00  2.845E-03 
9.092E+02   2.398E+00  2.832E-03 
9.141E+02   2.395E+00  2.819E-03 
9.190E+02   2.391E+00  2.806E-03 
9.240E+02   2.388E+00  2.793E-03 
9.289E+02   2.385E+00  2.780E-03 
9.338E+02   2.382E+00  2.768E-03 
9.388E+02   2.378E+00  2.755E-03 
9.437E+02   2.375E+00  2.743E-03 
9.486E+02   2.372E+00  2.731E-03 
9.536E+02   2.368E+00  2.719E-03 
9.585E+02   2.365E+00  2.707E-03 
9.634E+02   2.362E+00  2.695E-03 
9.684E+02   2.358E+00  2.684E-03 
9.733E+02   2.355E+00  2.672E-03 
9.782E+02   2.351E+00  2.661E-03 
9.832E+02   2.348E+00  2.649E-03 
9.881E+02   2.345E+00  2.638E-03 
9.930E+02   2.341E+00  2.627E-03 
9.980E+02   2.338E+00  2.616E-03 
1.003E+03   2.334E+00  2.605E-03 
1.008E+03   2.331E+00  2.594E-03 
1.013E+03   2.327E+00  2.583E-03 
1.018E+03   2.324E+00  2.572E-03 
1.023E+03   2.321E+00  2.562E-03 
1.028E+03   2.317E+00  2.551E-03 
1.033E+03   2.314E+00  2.541E-03 
1.037E+03   2.310E+00  2.531E-03 
1.042E+03   2.307E+00  2.520E-03 
1.047E+03   2.303E+00  2.510E-03 
1.052E+03   2.300E+00  2.500E-03 
1.057E+03   2.296E+00  2.490E-03 
1.062E+03   2.293E+00  2.480E-03 
1.067E+03   2.289E+00  2.471E-03 
1.072E+03   2.286E+00  2.461E-03 
1.077E+03   2.282E+00  2.451E-03 
1.082E+03   2.279E+00  2.442E-03 
1.087E+03   2.275E+00  2.432E-03 
1.092E+03   2.271E+00  2.423E-03 
1.097E+03   2.268E+00  2.414E-03 
1.102E+03   2.264E+00  2.404E-03 
1.107E+03   2.261E+00  2.395E-03 
1.111E+03   2.257E+00  2.386E-03 
1.116E+03   2.254E+00  2.377E-03 
1.121E+03   2.250E+00  2.368E-03 
1.126E+03   2.247E+00  2.359E-03 
1.131E+03   2.243E+00  2.350E-03 
1.136E+03   2.240E+00  2.342E-03 
1.141E+03   2.236E+00  2.333E-03 
1.146E+03   2.233E+00  2.325E-03 
1.151E+03   2.229E+00  2.316E-03 
1.156E+03   2.226E+00  2.308E-03 
1.161E+03   2.222E+00  2.299E-03 
1.166E+03   2.219E+00  2.291E-03 
1.171E+03   2.215E+00  2.283E-03 
1.176E+03   2.211E+00  2.274E-03 
1.181E+03   2.208E+00  2.266E-03 
1.186E+03   2.204E+00  2.258E-03 
1.190E+03   2.201E+00  2.250E-03 
1.195E+03   2.197E+00  2.242E-03 
1.200E+03   2.194E+00  2.234E-03 
1.205E+03   2.190E+00  2.226E-03 
1.210E+03   2.187E+00  2.219E-03 
1.215E+03   2.183E+00  2.211E-03 
1.220E+03   2.180E+00  2.203E-03 
1.225E+03   2.176E+00  2.196E-03 
1.230E+03   2.173E+00  2.188E-03 
1.235E+03   2.169E+00  2.181E-03 
1.240E+03   2.166E+00  2.173E-03 
1.245E+03   2.162E+00  2.166E-03 
1.250E+03   2.159E+00  2.159E-03 
1.255E+03   2.156E+00  2.151E-03 
1.260E+03   2.152E+00  2.144E-03 
1.264E+03   2.149E+00  2.137E-03 
1.269E+03   2.145E+00  2.130E-03 
1.274E+03   2.142E+00  2.123E-03 
1.279E+03   2.138E+00  2.116E-03 
1.284E+03   2.135E+00  2.109E-03 
1.289E+03   2.131E+00  2.102E-03 
1.294E+03   2.128E+00  2.095E-03 
1.299E+03   2.125E+00  2.088E-03 
1.304E+03   2.121E+00  2.081E-03 
1.309E+03   2.118E+00  2.075E-03 
1.314E+03   2.114E+00  2.068E-03 
1.319E+03   2.111E+00  2.061E-03 
1.324E+03   2.108E+00  2.055E-03 
1.329E+03   2.104E+00  2.048E-03 
1.334E+03   2.101E+00  2.042E-03 
1.338E+03   2.097E+00  2.035E-03 
1.343E+03   2.094E+00  2.029E-03 
1.348E+03   2.091E+00  2.022E-03 
1.353E+03   2.087E+00  2.016E-03 
1.358E+03   2.084E+00  2.010E-03 
1.363E+03   2.081E+00  2.004E-03 
